DATAFLOW,LAST UPDATE,freq,s_adj,nace_r2,sizeclas,indic_em,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,FI,2021-Q4,2274038,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,FI,2022-Q1,2259199,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,FI,2022-Q2,2325966,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,FI,2022-Q3,2332563,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,FI,2022-Q4,2421544,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,HR,2020-Q4,1224138,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,HR,2021-Q1,1210998,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,HR,2021-Q2,1226901,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,HR,2021-Q3,1252483,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,HR,2021-Q4,1254538,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,HR,2022-Q1,1216753,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,HR,2022-Q2,1241075,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,HR,2022-Q3,1267103,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,HR,2022-Q4,1269109,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,HU,2020-Q4,,c
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,HU,2021-Q1,,c
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,HU,2021-Q2,,c
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,HU,2021-Q3,,c
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,HU,2021-Q4,,c
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,HU,2022-Q1,,c
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,HU,2022-Q2,,c
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,HU,2022-Q3,,c
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,HU,2022-Q4,,c
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,IS,2020-Q4,195162,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,IS,2021-Q1,189217,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,IS,2021-Q2,207404,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,IS,2021-Q3,221215,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,IS,2021-Q4,215268,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,IS,2022-Q1,210205,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,IS,2022-Q2,227890,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,IS,2022-Q3,234301,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,IS,2022-Q4,230764,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,LT,2020-Q4,1276255,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,LT,2021-Q1,1289195,
